Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId
frontity-demos/2020-08-webDevStudios-lunchLearn-workshop,No Dependent,,,,,,,,,,,,,,,,
asteffey/fcc-markdown-previewer,No Dependent,,,,,,,,,,,,,,,,
dannegm/carouiux,No Dependent,,,,,,,,,,,,,,,,
Jrive204/front-end-med-cab,No Dependent,,,,,,,,,,,,,,,,
spakkrishnakumar/Dflux-TagsInput,No Dependent,,,,,,,,,,,,,,,,
jhburns/ExperienceCapture,No Dependent,,,,,,,,,,,,,,,,
rizooooo/portfolio-app,No Dependent,,,,,,,,,,,,,,,,
Designer023/demo-styled-bsv4,No Dependent,,,,,,,,,,,,,,,,
marcelotk15/bin-2-dec,No Dependent,,,,,,,,,,,,,,,,
marcelotk15/border-radius-preview,No Dependent,,,,,,,,,,,,,,,,
luiswouters/responsive-react-styled-components,No Dependent,,,,,,,,,,,,,,,,
woochanleee/workout-log,No Dependent,,,,,,,,,,,,,,,,
tecrajesh/Assignment,No Dependent,,,,,,,,,,,,,,,,
psspqssq/acnh-collection-album,No Dependent,,,,,,,,,,,,,,,,
leoman/travelling-blog,No Dependent,,,,,,,,,,,,,,,,
UIwarrior/JavascriptDocumentaionApp,No Dependent,,,,,,,,,,,,,,,,
Shadoukun/MissCleo,No Dependent,,,,,,,,,,,,,,,,
TopBiketoursPortugal/TopBikeToursPortugal,No Dependent,,,,,,,,,,,,,,,,
DanMMX/github-repos,No Dependent,,,,,,,,,,,,,,,,
dianaslv/eCommerceApp,No Dependent,,,,,,,,,,,,,,,,
BrightonDube/VRHeaven,No Dependent,,,,,,,,,,,,,,,,
mykhalenych/news-spa,No Dependent,,,,,,,,,,,,,,,,
StuartMorris0/ReactStarterProject,No Dependent,,,,,,,,,,,,,,,,
NOBLEGG/RPS,No Dependent,,,,,,,,,,,,,,,,
open-church/diaconiaonline,No Dependent,,,,,,,,,,,,,,,,
annkettles/recipeboss,No Dependent,,,,,,,,,,,,,,,,
smkamranqadri/bundle-size-test-ui-lib,No Dependent,,,,,,,,,,,,,,,,
kimze80/reactjs-origin,No Dependent,,,,,,,,,,,,,,,,
peterbartels/meta-hub-codeforall,No Dependent,,,,,,,,,,,,,,,,
fbohz/reactAvanzadoStorybooks,No Dependent,,,,,,,,,,,,,,,,
isyviel/cv,No Dependent,,,,,,,,,,,,,,,,
Etiqa/laspesasottocasa,No Dependent,,,,,,,,,,,,,,,,
sagarprince/react-zomato-clone,No Dependent,,,,,,,,,,,,,,,,
BW-WeddingPlannerPortfolio/Front-End,No Dependent,,,,,,,,,,,,,,,,
Build-Week-mdd-cabinet1/front-end,No Dependent,,,,,,,,,,,,,,,,
akann/pay4later-akan,No Dependent,,,,,,,,,,,,,,,,
team-durumi/durumi-react,No Dependent,,,,,,,,,,,,,,,,
murphym757/react-template,No Dependent,,,,,,,,,,,,,,,,
murphym757/mm_portfolio,No Dependent,,,,,,,,,,,,,,,,
KrunchMuffin/prontoforms,No Dependent,,,,,,,,,,,,,,,,
mozo-works/gswebplay,No Dependent,,,,,,,,,,,,,,,,
jtrishmawi/20ieme-commune-stats,No Dependent,,,,,,,,,,,,,,,,
seendsouza/typecast,No Dependent,,,,,,,,,,,,,,,,
Use-My-Tech-Stuff-2/front-end,No Dependent,,,,,,,,,,,,,,,,
frasmarco/sco-site,No Dependent,,,,,,,,,,,,,,,,
esalle34/Diadao,No Dependent,,,,,,,,,,,,,,,,
GrafiteInc/Scaffold,No Dependent,,,,,,,,,,,,,,,,
rogeriorioli/gatsby_designhope,No Dependent,,,,,,,,,,,,,,,,
manjurulhoque/carrott-landing-page-next-js,No Dependent,,,,,,,,,,,,,,,,
meerajahmed/react-starter-kit,No Dependent,,,,,,,,,,,,,,,,
Cashmaney/enigma-worker-test,No Dependent,,,,,,,,,,,,,,,,
reginaldoMorais/r3-ts-cli,No Dependent,,,,,,,,,,,,,,,,
esalle34/MovieFinder,No Dependent,,,,,,,,,,,,,,,,
